Ear,Time
Left,2024-10-09 16:10:07.690492
Right,2024-10-09 16:10:08.840694
Left,2024-10-09 16:10:09.990909
Right,2024-10-09 16:10:11.141118
Left,2024-10-09 16:10:12.291347
Right,2024-10-09 16:10:13.441624
Left,2024-10-09 16:10:14.591857
Right,2024-10-09 16:10:15.742020
Left,2024-10-09 16:10:16.892203
Right,2024-10-09 16:10:18.042425
Left,2024-10-09 16:10:19.192616
Right,2024-10-09 16:10:20.342781
Left,2024-10-09 16:10:21.492952
Right,2024-10-09 16:10:22.643146
Left,2024-10-09 16:10:23.793357
Right,2024-10-09 16:10:24.943619
Left,2024-10-09 16:10:26.093819
Right,2024-10-09 16:10:27.244040
Left,2024-10-09 16:10:28.394246
Right,2024-10-09 16:10:29.544430
Left,2024-10-09 16:10:30.694657
Right,2024-10-09 16:10:31.844888
Left,2024-10-09 16:10:32.995091
Right,2024-10-09 16:10:34.145319
Left,2024-10-09 16:10:35.295539
Right,2024-10-09 16:10:36.445764
Left,2024-10-09 16:10:37.596175
Right,2024-10-09 16:10:38.746422
Left,2024-10-09 16:10:39.896618
Right,2024-10-09 16:10:41.046816
Left,2024-10-09 16:10:42.197017
Right,2024-10-09 16:10:43.347209
Left,2024-10-09 16:10:44.497399
Right,2024-10-09 16:10:45.647630
Left,2024-10-09 16:10:46.797831
Right,2024-10-09 16:10:47.948066
Left,2024-10-09 16:10:49.098273
Right,2024-10-09 16:10:50.248454
Left,2024-10-09 16:10:51.398688
Right,2024-10-09 16:10:52.548918
Left,2024-10-09 16:10:53.699385
Right,2024-10-09 16:10:54.849597
Left,2024-10-09 16:10:55.999808
Right,2024-10-09 16:10:57.149993
Left,2024-10-09 16:10:58.300236
Right,2024-10-09 16:10:59.450482
Left,2024-10-09 16:11:00.600713
Right,2024-10-09 16:11:01.750901
Left,2024-10-09 16:11:02.901079
Right,2024-10-09 16:11:04.051311
Left,2024-10-09 16:11:05.201524
Right,2024-10-09 16:11:06.351772
Left,2024-10-09 16:11:07.502052
Right,2024-10-09 16:11:08.652276
Left,2024-10-09 16:11:09.802660
Right,2024-10-09 16:11:10.952917
Left,2024-10-09 16:11:12.103209
Right,2024-10-09 16:11:13.253406
Left,2024-10-09 16:11:14.403571
Right,2024-10-09 16:11:15.553772
Left,2024-10-09 16:11:16.704012
Right,2024-10-09 16:11:17.854188
Left,2024-10-09 16:11:19.004388
Right,2024-10-09 16:11:20.154618
Left,2024-10-09 16:11:21.304825
Right,2024-10-09 16:11:22.455047
Left,2024-10-09 16:11:23.605257
Right,2024-10-09 16:11:24.755488
Left,2024-10-09 16:11:25.905745
Right,2024-10-09 16:11:27.055966
Left,2024-10-09 16:11:28.206162
Right,2024-10-09 16:11:29.356341
Left,2024-10-09 16:11:30.506544
Right,2024-10-09 16:11:31.656782
Left,2024-10-09 16:11:32.807062
Right,2024-10-09 16:11:33.957259
Left,2024-10-09 16:11:35.107463
Right,2024-10-09 16:11:36.257661
Left,2024-10-09 16:11:37.407888
Right,2024-10-09 16:11:38.558166
Left,2024-10-09 16:11:39.708369
Right,2024-10-09 16:11:40.858592
Left,2024-10-09 16:11:42.008819
Right,2024-10-09 16:11:43.159037
Left,2024-10-09 16:11:44.309268
Right,2024-10-09 16:11:45.459483
Left,2024-10-09 16:11:46.609708
Right,2024-10-09 16:11:47.759956
Left,2024-10-09 16:11:48.910206
Right,2024-10-09 16:11:50.060384
Left,2024-10-09 16:11:51.210614
Right,2024-10-09 16:11:52.360826
Left,2024-10-09 16:11:53.511045
Right,2024-10-09 16:11:54.661248
Left,2024-10-09 16:11:55.811446
Right,2024-10-09 16:11:56.961668
Left,2024-10-09 16:11:58.111898
Right,2024-10-09 16:11:59.262181
Left,2024-10-09 16:12:00.412431
Right,2024-10-09 16:12:01.562633
Left,2024-10-09 16:12:02.712838
Right,2024-10-09 16:12:03.863046
Left,2024-10-09 16:12:05.013240
Right,2024-10-09 16:12:06.163416
Left,2024-10-09 16:12:07.313616
Right,2024-10-09 16:12:08.463822
Left,2024-10-09 16:12:09.614053
Right,2024-10-09 16:12:10.764238
Left,2024-10-09 16:12:11.914430
Right,2024-10-09 16:12:13.064633
Left,2024-10-09 16:12:14.214857
Right,2024-10-09 16:12:15.365085
Left,2024-10-09 16:12:16.515570
Right,2024-10-09 16:12:17.665782
Left,2024-10-09 16:12:18.815995
Right,2024-10-09 16:12:19.966171
Left,2024-10-09 16:12:21.116380
Right,2024-10-09 16:12:22.266579
Left,2024-10-09 16:12:23.416798
Right,2024-10-09 16:12:24.567007
