Ear,Time
Right,2025-05-10 16:10:21.992760
Right,2025-05-10 16:10:23.474404
Right,2025-05-10 16:10:25.097172
Left,2025-05-10 16:10:26.875668
Right,2025-05-10 16:10:28.814130
Left,2025-05-10 16:10:30.995472
Left,2025-05-10 16:10:32.450922
Right,2025-05-10 16:10:34.606304
Right,2025-05-10 16:10:35.942667
Left,2025-05-10 16:10:37.445803
Right,2025-05-10 16:10:38.818098
Left,2025-05-10 16:10:40.289714
Right,2025-05-10 16:10:42.322877
Left,2025-05-10 16:10:44.349696
Right,2025-05-10 16:10:45.597338
Right,2025-05-10 16:10:47.442222
Left,2025-05-10 16:10:49.580325
Left,2025-05-10 16:10:51.448042
Right,2025-05-10 16:10:53.018315
Right,2025-05-10 16:10:55.026755
Left,2025-05-10 16:10:56.820938
Right,2025-05-10 16:10:58.104337
Left,2025-05-10 16:10:59.510962
Right,2025-05-10 16:11:01.589390
Right,2025-05-10 16:11:03.243854
Right,2025-05-10 16:11:04.745715
Left,2025-05-10 16:11:06.181834
Right,2025-05-10 16:11:07.546563
Right,2025-05-10 16:11:08.992917
Right,2025-05-10 16:11:10.591637
Left,2025-05-10 16:11:12.615952
Left,2025-05-10 16:11:14.278969
Left,2025-05-10 16:11:16.354514
Right,2025-05-10 16:11:18.314323
Right,2025-05-10 16:11:20.106002
Left,2025-05-10 16:11:22.147077
Left,2025-05-10 16:11:24.041657
Right,2025-05-10 16:11:25.329033
Left,2025-05-10 16:11:26.872444
Left,2025-05-10 16:11:28.643431
Left,2025-05-10 16:11:30.372735
Right,2025-05-10 16:11:32.473267
Right,2025-05-10 16:11:33.900904
Left,2025-05-10 16:11:35.936387
Left,2025-05-10 16:11:38.118817
Right,2025-05-10 16:11:39.790706
Right,2025-05-10 16:11:41.250219
Right,2025-05-10 16:11:43.266899
Right,2025-05-10 16:11:45.428077
Left,2025-05-10 16:11:47.239649
Left,2025-05-10 16:11:48.852540
Right,2025-05-10 16:11:50.270875
Left,2025-05-10 16:11:52.417520
Left,2025-05-10 16:11:54.434023
Right,2025-05-10 16:11:56.184721
Right,2025-05-10 16:11:57.972462
Right,2025-05-10 16:11:59.873394
Right,2025-05-10 16:12:01.113004
Left,2025-05-10 16:12:02.851018
Left,2025-05-10 16:12:04.554482
Right,2025-05-10 16:12:06.093853
Right,2025-05-10 16:12:08.146031
Left,2025-05-10 16:12:09.761150
Left,2025-05-10 16:12:11.341369
Right,2025-05-10 16:12:13.290915
Right,2025-05-10 16:12:14.617078
Left,2025-05-10 16:12:16.578639
Left,2025-05-10 16:12:18.170921
Right,2025-05-10 16:12:20.120579
Right,2025-05-10 16:12:21.779665
Right,2025-05-10 16:12:23.964344
Right,2025-05-10 16:12:25.166234
Right,2025-05-10 16:12:26.408897
Left,2025-05-10 16:12:27.808985
Right,2025-05-10 16:12:29.062357
Right,2025-05-10 16:12:30.536939
Right,2025-05-10 16:12:32.024552
Left,2025-05-10 16:12:33.225256
Right,2025-05-10 16:12:34.908128
Right,2025-05-10 16:12:36.695590
